City/Town,State,County,Latitude,Longitude,Avg Daily Irradiance,Est. Energy Production Per Day
New York,NY,Queens,40.6943,-73.9249,4.1004,1.4761
Los Angeles,CA,Los Angeles,34.1141,-118.4068,5.6778,2.044
Chicago,IL,Cook,41.8375,-87.6866,3.9205,1.4114
Miami,FL,Miami-Dade,25.784,-80.2101,5.0915,1.8329
Houston,TX,Harris,29.786,-95.3885,4.7376,1.7055
Dallas,TX,Dallas,32.7935,-96.7667,4.7744,1.7188
Philadelphia,PA,Philadelphia,40.0077,-75.1339,3.9492,1.4217
Atlanta,GA,Fulton,33.7628,-84.422,4.5579,1.6408
Washington,DC,District of Columbia,38.9047,-77.0163,4.2275,1.5219
Boston,MA,Suffolk,42.3188,-71.0852,3.9001,1.404
Phoenix,AZ,Maricopa,33.5722,-112.0892,5.8997,2.1239
Detroit,MI,Wayne,42.3834,-83.1024,3.8465,1.3847
Seattle,WA,King,47.6211,-122.3244,3.6009,1.2963
San Francisco,CA,San Francisco,37.7558,-122.4449,4.8794,1.7566
San Diego,CA,San Diego,32.8313,-117.1222,5.0458,1.8165
Minneapolis,MN,Hennepin,44.9635,-93.2678,3.9987,1.4395
Tampa,FL,Hillsborough,27.9945,-82.4447,5.2308,1.8831
Brooklyn,NY,Kings,40.6501,-73.9496,4.1004,1.4761
Denver,CO,Denver,39.762,-104.8758,4.9126,1.7685
Queens,NY,Queens,40.7498,-73.7976,4.1004,1.4761
Riverside,CA,Riverside,33.9381,-117.3949,5.4726,1.9701
Las Vegas,NV,Clark,36.2333,-115.2654,5.6517,2.0346
Baltimore,MD,Baltimore,39.3051,-76.6144,4.1694,1.501
St. Louis,MO,St. Louis,38.6359,-90.2451,4.2585,1.5331
Portland,OR,Multnomah,45.5371,-122.65,3.8231,1.3763
San Antonio,TX,Bexar,29.4632,-98.5238,4.952,1.7827
Sacramento,CA,Sacramento,38.5677,-121.4685,5.333,1.9199
Austin,TX,Travis,30.3005,-97.7522,4.9071,1.7666
Orlando,FL,Orange,28.4773,-81.337,4.9408,1.7787
San Juan,PR,San Juan,18.3985,-66.061,5.5331,1.9919
San Jose,CA,Santa Clara,37.3012,-121.848,5.4264,1.9535
Pittsburgh,PA,Allegheny,40.4397,-79.9763,3.8265,1.3775
Indianapolis,IN,Marion,39.7771,-86.1458,4.0917,1.473
Manhattan,NY,New York,40.7834,-73.9662,4.1004,1.4761
Cincinnati,OH,Hamilton,39.1413,-84.506,4.0729,1.4662
Kansas City,MO,Jackson,39.1238,-94.5541,4.3191,1.5549
Cleveland,OH,Cuyahoga,41.4764,-81.6805,3.775,1.359
Columbus,OH,Franklin,39.9862,-82.9855,3.9859,1.4349
Bronx,NY,Bronx,40.8501,-73.8662,4.1004,1.4761
Virginia Beach,VA,Virginia Beach,36.7335,-76.0435,4.4303,1.5949
Charlotte,NC,Mecklenburg,35.2083,-80.8303,4.5416,1.635
Milwaukee,WI,Milwaukee,43.0642,-87.9675,3.7251,1.341
Providence,RI,Providence,41.823,-71.4187,4.1025,1.4769
Jacksonville,FL,Duval,30.3322,-81.6749,4.7861,1.723
Nashville,TN,Davidson,36.1715,-86.7842,4.3173,1.5542
Salt Lake City,UT,Salt Lake,40.7776,-111.9311,4.923,1.7723
Raleigh,NC,Wake,35.8324,-78.6429,4.5425,1.6353
Richmond,VA,Richmond,37.5295,-77.4756,4.3699,1.5732
Memphis,TN,Shelby,35.1087,-89.9663,4.4866,1.6152
Oklahoma City,OK,Oklahoma,35.4676,-97.5136,4.8256,1.7372
Hartford,CT,Capitol,41.7661,-72.6834,4.0035,1.4413
Louisville,KY,Jefferson,38.1663,-85.6485,4.1544,1.4956
Buffalo,NY,Erie,42.9018,-78.8487,3.695,1.3302
New Orleans,LA,Orleans,30.0687,-89.9288,4.7195,1.699
Fort Worth,TX,Tarrant,32.7817,-97.3474,4.9167,1.77
Bridgeport,CT,Greater Bridgeport,41.1918,-73.1954,3.9479,1.4212
Tucson,AZ,Pima,32.1541,-110.8787,5.8832,2.118
El Paso,TX,El Paso,31.8476,-106.43,5.9393,2.1381
Omaha,NE,Douglas,41.2627,-96.0529,4.3532,1.5672
McAllen,TX,Hidalgo,26.2252,-98.2467,5.1452,1.8523
Birmingham,AL,Jefferson,33.5279,-86.7971,4.5741,1.6467
Albuquerque,NM,Bernalillo,35.1054,-106.6465,5.5494,1.9978
Tulsa,OK,Tulsa,36.1283,-95.9042,4.5563,1.6403
Fresno,CA,Fresno,36.783,-119.7939,5.4624,1.9665
Charleston,SC,Charleston,32.8168,-79.9687,4.7535,1.7113
Rochester,NY,Monroe,43.168,-77.6162,3.6703,1.3213
Dayton,OH,Montgomery,39.7805,-84.2003,4.0729,1.4662
Cape Coral,FL,Lee,26.6443,-81.9957,5.1341,1.8483
Mission Viejo,CA,Orange,33.6096,-117.6551,5.4726,1.9701
Colorado Springs,CO,El Paso,38.8674,-104.7605,5.0743,1.8267
Baton Rouge,LA,East Baton Rouge,30.442,-91.1311,4.6944,1.69
Allentown,PA,Lehigh,40.5961,-75.4756,3.9492,1.4217
Ogden,UT,Weber,41.2279,-111.9682,4.8707,1.7535
Provo,UT,Utah,40.2457,-111.6457,4.923,1.7723
Knoxville,TN,Knox,35.9692,-83.9496,4.4037,1.5853
Grand Rapids,MI,Kent,42.9619,-85.6562,3.8138,1.373
Columbia,SC,Richland,34.0378,-80.9036,4.5959,1.6545
Albany,NY,Albany,42.6664,-73.7987,3.8074,1.3707
Bakersfield,CA,Kern,35.3529,-119.0359,5.6404,2.0305
New Haven,CT,South Central Connecticut,41.3113,-72.9246,4.0035,1.4413
Des Moines,IA,Polk,41.5725,-93.6105,4.2286,1.5223
Akron,OH,Summit,41.0798,-81.5219,3.775,1.359
Palm Bay,FL,Brevard,27.9631,-80.6593,5.0288,1.8104
Concord,CA,Contra Costa,37.9722,-122.0016,4.8794,1.7566
Wichita,KS,Sedgwick,37.6895,-97.3443,4.7289,1.7024
Mesa,AZ,Maricopa,33.4015,-111.7178,5.8669,2.1121
Harrisburg,PA,Dauphin,40.2752,-76.8843,3.9593,1.4253
Staten Island,NY,Richmond,40.5834,-74.1496,4.0175,1.4463
Toledo,OH,Lucas,41.6638,-83.5827,3.9523,1.4228
Worcester,MA,Worcester,42.2705,-71.8079,3.9001,1.404
Long Beach,CA,Los Angeles,33.7977,-118.167,5.1711,1.8616
Port St. Lucie,FL,St. Lucie,27.2796,-80.3884,5.0288,1.8104
Little Rock,AR,Pulaski,34.7256,-92.3577,4.4586,1.6051
Reno,NV,Washoe,39.5497,-119.8483,5.2929,1.9054
Spokane,WA,Spokane,47.6671,-117.433,3.8932,1.4016
